,text,label,preprocessed_text
1885,I was looking for this headset for a long time and now that I've got it I couldn't be happier.,positive,be look headset long time have get could not be happy
1983,But then they came back cold.,negative,come back cold
1102,none of the new ones have ever quite worked properly.,negative,none of new one have ever quite work properly
1802,Very happy with this product.,positive,very happy product
2540,The Greek dressing was very creamy and flavorful.,positive,greek dressing be very creamy flavorful
1003,there is no real plot.  ,negative,be no real plot
723,"Light weight, I hardly notice it is there.",positive,light weight hardly notice be there
1437,"I love the camera, it's really pretty good quality.",positive,love camera be really pretty good quality
1415,DO NOT BUY DO NOT BUYIT SUCKS,negative,do not buy do not buyit suck
1178,"But the acting--even that of such professionals as Drago and Debbie Rochon--was terrible, the directing worse (perhaps contributory to the former), the dialog chimp-like, and the camera work, barely tolerable.  ",negative,act even of professional drago debbie rochon be terrible directing bad perhaps contributory former dialog chimp like camera work barely tolerable
1443,Conclusion - I loved it.  ,positive,conclusion love it
671,This movie is a good and humorous comment on life in 2006.  ,positive,movie be good humorous comment life two thousand six
1166,I believe every one should see this movie as I think few people outside of South Africa understand its past and what is being attempted in the Truth and Reconciliation process.  ,positive,believe every one see movie think few people outside of south africa understand past be be attempt truth reconciliation process
2720,Extremely Tasty!,positive,extremely tasty
57,I love this place.,positive,love place
2689,Worst hour and a half of my life!Oh my gosh!  ,negative,worst hour half of life oh gosh
2613,Avoid this one if you can.,negative,avoid one can
2444,There was hardly any meat.,negative,be hardly any meat
1216,(The bathroom is just next door and very nice.),positive,the bathroom be next door very nice
2515,I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,negative,come verizon cingulair have nicer cell phone first thing notice be really bad service
1171,This particular model would not work with my Motorola Q smartphone.,negative,particular model would not work motorola q smartphone
371,Great choice!,positive,great choice
228,T-Mobile has the best customer service anywhere.,positive,t mobile have best customer service anywhere
2069,Battery is holding up well.,positive,battery be hold well
1212,The script looks as if only a rough draft was written and shooting began before a finished script was completed.  ,negative,script look rough draft be write shoot begin finished script be complete
335,"Plus, with the movie's rather modest budget and fast running time, it does an amazing job!  ",positive,plus movie s rather modest budget fast running time do amazing job
1581,I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,negative,buy hop could make bluetooth headset fit well thing make impossible wear
2315,This phone works great.,positive,phone work great
2179,The management is rude.,negative,management be rude
392,"Strike 2, who wants to be rushed.",negative,strike two want be rush
1451,I want my money back.,negative,want money back
11,"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",positive,would definitely recommend jabra bt250v be look comfort clarity great price
2065,"The internet access was fine, it the rare instance that it worked.",negative,internet access be fine rare instance work
1794,This place is hands-down one of the best places to eat in the Phoenix metro area.,positive,place be hand down one of best place eat phoenix metro area
2413,"I really do recommend this place, you can go wrong with this donut place!",positive,really do recommend place can go wrong donut place
693,Cinematography noteworthy including fine views of Barcelona and its famed Gaudi towers.  ,positive,cinematography noteworthy include fine view of barcelona famed gaudi tower
643,They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,positive,also serve indian naan bread hummus spicy pine nut sauce be out of world
2014,I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,negative,have wait thirty minute get drink long get two arepas
955,Food was great and so was the serivce!,positive,food be great be serivce
342,"However-the riingtones are not the best, and neither are the games.",negative,however the riingtones be not best neither be game
2055,The movie seemed a little slow at first.  ,negative,movie seem little slow first
447,"The writers were ""smack on"" and I think the best actors and actresses were a bonus to the show.These characters were so real.  ",positive,writer be smack on think best actor actress be bonus show these character be real
1332,This is the first phone I've had that has been so cheaply made.,negative,be first phone have have have be cheaply make
876,The first thing that happened was that the tracking was off.,negative,first thing happen be track be off
1661,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",negative,camera although rat impressive one three megapixels render image fall well expectation of relatively high resolution
1856,Don't be afraid of subtitles........ its worth a little aversion therapy 10/10  ,positive,do not be afraid of subtitle worth little aversion therapy ten ten
581,"I really recommend this faceplates since it looks very nice, elegant and cool.",positive,really recommend faceplate since look very nice elegant cool
2336,this is the worst sushi i have ever eat besides Costco's.,negative,be bad sushi have ever eat besides costco s
466,I guess I liked the details of his dysfunction--he was believable.  ,positive,guess like detail of dysfunction he be believable
1673,Does Not Work.,negative,do not work
674,I love this device.,positive,love device
134,I must say I have taped most of the episodes and i find myself watching them over and over again.  ,positive,must say have tap of episode find watch again
1771,"useless phone, simply deaf.",negative,useless phone simply deaf
222,Someone shouldve invented this sooner.,positive,someone have invent sooner
1529,It definitely was not as good as my S11.,positive,definitely be not good s11
324,"too bad cause I know it's family owned, I really wanted to like this place.",negative,too bad know be family own really want like place
2021,"very good product, well made.",positive,very good product well make
2005,Case was more or less an extra that I originally put on but later discarded because it scratched my ear.,negative,case be less extra originally put later discard scratch ear
1459,I highly doubt that anyone could ever like this trash.  ,negative,highly doubt anyone could ever like trash
1780,"It never condescends, all the characters have good genuine hearts and believable problems.  ",positive,never condescend character have good genuine heart believable problem
351,"Plus, it was well-paced and suited its relatively short run time.  ",positive,plus be well pace suit relatively short run time
756,Best breakfast buffet!!!,positive,best breakfast buffet
1244,Not impressed.,negative,not impressed
2459,Once you get inside you'll be impressed with the place.,positive,get inside be impressed place
1600,They also have the best cheese crisp in town.,positive,also have best cheese crisp town
226,That's right....the red velvet cake.....ohhh this stuff is so good.,positive,be right the red velvet cake ohhh stuff be good
1397,My 8/10 score is mostly for the plot.  ,positive,eight ten score be mostly plot
1603,How awesome is that.,positive,awesome be that
2180,The inside is really quite nice and very clean.,positive,inside be really quite nice very clean
2711,Poor product.,negative,poor product
1609,This movie is also revealing.  ,positive,movie be also reveal
1151,"On the up side, their cafe serves really good food.",positive,side cafe serf really good food
2439,I purcashed this for the car charger and it does not work.,negative,purcashed car charger do not work
694,-My order was not correct.,negative,my order be not correct
1813,Very good lunch spot.,positive,very good lunch spot
547,My wife had the Lobster Bisque soup which was lukewarm.,negative,wife have lobster bisque soup be lukewarm
2740,"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",positive,classy warm atmosphere fun fresh appetizer succulent steak baseball steak
1502,I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,positive,like design look of jabra behing ear headset five thousand twenty be pretty comfortible wear twenty four hour day without pain ear
2636,"A truly, truly bad film.  ",negative,truly truly bad film
897,"Clear Skype Calls, Long Battery Life, Long Range.",positive,clear skype call long battery life long range
2490,But this understated film leaves a lasting impression.  ,positive,understated film leave last impression
201,"The building itself seems pretty neat; the bathroom is pretty trippy, but I wouldn't eat here again.",negative,building seem pretty neat bathroom be pretty trippy would not eat again
731,It has everything I need and I couldn't ask for more.,positive,have everything need could not ask more
1593,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",negative,food be not bad enough you enjoy deal world s worst annoy drunk people
330,I'm super pissd.,negative,be super pissd
1185,This was such an awesome movie that i bought it off of Ebay.  ,positive,be awesome movie buy of ebay
988,We'll never go again.,negative,never go again
1327,"It showed exactly how the government and the scientist argued for humanity and the reasons of the ""gadget"".  ",positive,show exactly government scientist argue humanity reason of gadget
1836,"I wish I could enter negative values, admins?  ",negative,wish could enter negative value admins
2412,The phone is sturdy and waterproof.,positive,phone be sturdy waterproof
2524,Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,negative,pay seven eighty five hot dog fry look like come out of kid s meal wienerschnitzel be not idea of good meal
212,clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,positive,clip belt deffinitely make feel like fifty cent s up and come
728,I'm really disappointed all I have now is a charger that doesn't work.,negative,be really disappointed have be charger do not work
503,Interesting decor.,positive,interest decor
1303,So I bought about 10 of these and saved alot of money.,positive,buy ten of saved alot of money
1106,The film's sole bright spot was Jonah Hill (who will look almost unrecognizable to fans of the recent Superbad due to the amount of weight he lost in the interim).  ,positive,film s sole bright spot be jonah hill who look almost unrecognizable fan of recent superbad due amount of weight lose interim
490,Excellent bluetooth headset.,positive,excellent bluetooth headset
2445,It doesn't make you look cool.,negative,do not make look cool
272,"I loved this movie it was a great portrayal of a family who had it's share of ups and down, but in the end they knew that special love they had for each other.  ",positive,loved movie be great portrayal of family have be share of ups down end knew special love have other
2130,"The staff is great, the food is delish, and they have an incredible beer selection.",positive,staff be great food be delish have incredible beer selection
2261,"Unfortunately, it only set us up for disapppointment with our entrees.",negative,unfortunately set u disapppointment entree
2248,"In an interesting part of town, this place is amazing.",positive,interest part of town place be amaze
2328,It was so BORING!  ,negative,be bore
2712,"This movie creates its own universe, and is fascinating in every way.  ",positive,movie create universe be fascinate every way
2465,"Unfortunately, any virtue in this film's production work was lost on a regrettable script.  ",negative,unfortunately any virtue film s production work be lose regrettable script
2147,"It's fits like a glove and is strong, secure, and durable.",positive,be fit like glove be strong secure durable
1115,There's barely a boring moment in the film and there are plenty of humorous parts.  ,positive,be barely boring moment film be plenty of humorous part
1093,We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,positive,have group of seventy claim would have forty handle u beautifully
819,It's A PIECE OF CRAP!,negative,be piece of crap
2139,"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",positive,pro good camera very nice picture also have cool style like black white more
1336,Kids pizza is always a hit too with lots of great side dish options for the kiddos!,positive,kid pizza be always hit too lot of great side dish option kiddos
27,"This is a simple little phone to use, but the breakage is unacceptible.",negative,be simple little phone use breakage be unacceptible
2533,"The point is the journey, a journey that touches every member of the family.  ",positive,point be journey journey touch every member of family
1731,Maybe if they weren't cold they would have been somewhat edible.,negative,maybe be not cold would have be somewhat edible
1319,Have been going since 2007 and every meal has been awesome!!,positive,have be go since two thousand seven every meal have be awesome
1992,I got this phone on reccomendation from a relative and I'm glad I did.,positive,get phone reccomendation relative be glad do
1621,awesome device.,positive,awesome device
2743,The stories were as unbelievable as the actors.  ,negative,story be unbelievable actor
1545,You'd have to have the IQ of particularly stupid mollusk not to see that one coming.  ,negative,would have have iq of particularly stupid mollusk not see one come
1228,The result is a film that just don't look right.  ,negative,result be film do not look right
2222,The service was a bit lacking.,negative,service be bit lacking
696,This second appearance of Mickey Mouse (following the silent PLANE CRAZY earlier that year) is probably his most famous film--mostly because it was so ground-breaking.  ,positive,second appearance of mickey mouse follow silent plane crazy earlier year be probably famous film mostly be ground breaking
1232,"No ear loop needed, it's tiny and the sound is great.",positive,no ear loop need be tiny sound be great
2211,The battery life is highly unacceptable.,negative,battery life be highly unacceptable
2734,Its the best headset I have used.,positive,best headset have use
1548,"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",positive,breakfast be perpared great beautiful presentation of three giant slice of toast lightly dust powdered sugar
768,You won't regret it!,positive,not regret it
73,Also difficult to put on.I'd recommend avoiding this product.,negative,also difficult put on i would recommend avoid product
1154,Don't buy this product - It fails!.,negative,do not buy product fails
2115,"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",positive,screen size be big key pad lit well enough camera quality be excellent camera phone
164,I've seen soap operas more intelligent than this movie.  ,negative,have see soap opera intelligent movie
2212,"A must study for anyone interested in the ""worst sins"" of industrial design.",negative,must study anyone interested bad sin of industrial design
2313,"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",negative,total letdown would much rather go camelback flower shop cartel coffee
257,The movie is full of wonderful dancing (hence the title!  ,positive,movie be full of wonderful dance hence title
2153,I promise they won't disappoint.,positive,promise not disappoint
1055,Great for the jawbone.,positive,great jawbone
1957,The only redeeming quality of the restaurant was that it was very inexpensive.,positive,redeem quality of restaurant be be very inexpensive
1033,"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",positive,work great car charger especially cannot plug two adapter time
179,W810i is just SUPERB.,positive,w810i be superb
1986,One thing I hate is the mode set button at the side.,negative,one thing hate be mode set button side
440,This company charge me a restocking fee and still not given me my refund back.,negative,company charge restock fee still not give refund back
947,Thank you for such great service.,positive,thank great service
1170,"I love the owner/chef, his one authentic Japanese cool dude!",positive,love owner chef one authentic japanese cool dude
1052,This movie is well-balanced with comedy and drama and I thoroughly enjoyed myself.  ,positive,movie be well balanced comedy drama thoroughly enjoy myself
1768,"Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.  ",negative,crash be depress little nothing provokes emotion teach nothing already know racism prejudice be bad thing
2530,wont work right or atleast for me.,negative,not work right atleast me
376,They could be used as exemplars for any set designer.  ,positive,could be use exemplar any set designer
1153,Those burgers were amazing.,positive,burger be amaze
1002,& That movie was bad.  ,negative,movie be bad
364,The warmth it generates is in contrast to its austere backdrop.  ,positive,warmth generates be contrast austere backdrop
2640,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,negative,heart attack grill downtown vega be absolutely flat line excuse restaurant
2371,Dessert: Panna Cotta was amazing.,positive,dessert panna cotta be amaze
956,There was NOTHING believable about it at all.  ,negative,be nothing believable all
373,Gave up trying to eat any of the crust (teeth still sore).,negative,give try eat any of crust teeth still sore
1602,I ordered the Lemon raspberry ice cocktail which was also incredible.,positive,ordered lemon raspberry ice cocktail be also incredible
314,"Well packaged, arrived on time, and works as intended.",positive,well package arrive time work intend
1733,Restored my phone to like new performance.,positive,restore phone like new performance
1923,BT50 battery junk!.,negative,bt50 battery junk
1344,"Every time I eat here, I see caring teamwork to a professional degree.",positive,every time eat here see care teamwork professional degree
2099,Now this dish was quite flavourful.,positive,dish be quite flavourful
290,"With the originality and freshness of the first movie now spent, this remake had little else to offer.  ",negative,originality freshness of first movie spend remake have little else offer
1467,I would recommend this.,positive,would recommend this
2590,All the characters in this film are tremendously well played.  ,positive,character film be tremendously well play
2375,I'd like to return it.,negative,would like return it
2381,It worked very well.,positive,work very well
751,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,positive,be different cut piece day still wonderful tender well well flavor
1792,Highly unrecommended.  ,negative,highly unrecommended
1598,Nargile - I think you are great.,positive,nargile think be great
2231,I have had mine for about a year and this Christmas I bought some for the rest of the family.,positive,have have mine year christmas buy rest of family
1746,Never going back.,negative,never go back
807,The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,negative,reason eat would be fill night of binge drinking get carbs stomach
1057,A FLY was in my apple juice.. A FLY!!!!!!!!,negative,fly be apple juice fly
1470,"The results, well, are a shame.  ",negative,result well be shame
1574,Great place to relax and have an awesome burger and beer.,positive,great place relax have awesome burger beer
2327,"An Italian reviewer called this ""a small, great film,"" and that's right.  ",positive,italian reviewer call a small great film be right
1231,I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,positive,really like product motorola be allot clear ear piece mic
1379,This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,positive,be outstanding little restaurant of best food have ever taste
1801,A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,positive,good quality bargain buy buy cheapy big lot sound awful people end could not hear me
41,I had the chicken Pho and it tasted very bland.,negative,have chicken pho tasted very bland
2114,Crust is not good.,negative,crust be not good
1528,"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",negative,take picture battery drop bar start beep let know die
1597,"Regardless, the film fails on most levels.  ",negative,regardless film fails level
194,"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",negative,several different two minute call experience five drop be area have five bar
1338,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,negative,tie charger conversation last forty five minute major problem
818,The scallop dish is quite appalling for value as well.,negative,scallop dish be quite appalling value well
781,Not good when wearing a hat or sunglasses.,negative,not good wear hat sunglass
1534,Wow... Loved this place.,positive,wow love place
1964,I'm still infatuated with this phone.,positive,be still infatuate phone
1776,Great product.,positive,great product
983,Their frozen margaritas are WAY too sugary for my taste.,negative,frozen margarita be way too sugary taste
2654,The design is very good.4.,positive,design be very good four
2129,The phone can also take great pictures and even video clips.,positive,phone can also take great picture even video clip
1774,"This film highlights the fundamental flaws of the legal process, that it's not about discovering guilt or innocence, but rather, is about who presents better in court.  ",positive,film highlight fundamental flaw of legal process be not discover guilt innocence rather be present well court
2043,Simply beautiful.  ,positive,simply beautiful
1709,I felt as though her going to Ireland did absolutely nothing whatsoever.  ,negative,felt though go ireland do absolutely nothing whatsoever
874,Poor quality.,negative,poor quality
2105,The BT headset was such a disapoinment.,negative,bt headset be disapoinment
1705,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",negative,unfortunately must have hit bakery leftover day everything order be stale
1181,"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",negative,have two three bar cell phone be home cannot not hear anything
1263,"The owner used to work at Nobu, so this place is really similar for half the price.",positive,owner use work nobu place be really similar half price
1700,After the disappointing dinner we went elsewhere for dessert.,negative,disappoint dinner go elsewhere dessert
779,This place was such a nice surprise!,positive,place be nice surprise
1152,This is one of the better buffets that I have been to.,positive,be one of good buffet have be to
972,I never come again.,negative,never come again
2307,"The atmosphere is modern and hip, while maintaining a touch of coziness.",positive,atmosphere be modern hip maintain touch of coziness
712,If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,negative,someone order two taco do not think may be part of customer service ask be combo ala cart
205,poor quality and service.,negative,poor quality service
834,It's pretty easy.,positive,be pretty easy
259,The directing and the cinematography aren't quite as good.  ,negative,direct cinematography be not quite good
2107,Doesn't do the job.,negative,do not do job
2681,Think of the film being like a dream.  ,positive,think of film be like dream
2011,I can assure you that you won't be disappointed.,positive,can assure not be disappoint
1393,Very very fun chef.,positive,very very fun chef
2028,"If you are looking for a good quality Motorola Headset keep looking, this isn't it.",negative,be look good quality motorola headset keep look be not it
1048,"I love this phone , It is very handy and has a lot of features .",positive,love phone be very handy have lot of feature
200,You can't beat the price on these.,positive,cannot beat price these
833,Makes it easier to keep up with my bluetooth when I'm not wearing it.,negative,make easy keep bluetooth be not wear it
1200,It dit not work most of the time with my Nokia 5320.,negative,dit not work of time nokia five thousand three hundred twenty
1808,Great charger.,positive,great charger
2126,Piece of Junk.,negative,piece of junk
0,There is simply no excuse for something this poorly done.  ,negative,be simply no excuse something poorly do
430,"Good show, Samsung.",positive,good show samsung
1817,"The acting was decidely wooden, though no worse than a period Universal B movie.  ",negative,acting be decidely wooden though no bad period universal b movie
806,This is hands down the best phone I've ever had.,positive,be hand best phone have ever have
498,"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",positive,always order vegetarian menu dinner have wide array of option choose from
1049,Setup went very smoothly.,positive,setup go very smoothly
2506,I had the opportunity today to sample your amazing pizzas!,positive,have opportunity today sample amaze pizza
2594,This is a great little item.,positive,be great little item
2136,The food was terrible.,negative,food be terrible
1631,Love this headset!,positive,love headset
1790,"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",positive,know sound funny seem like sketchy technology would not work well well one work great
2007,"A greasy, unhealthy meal.",negative,greasy unhealthy meal
2438,My gyro was basically lettuce only.,negative,gyro be basically lettuce only
1065,Clever and a real crowd-pleaser--this film still ranks among Mickey's best films even after 80 wonderful years.  ,positive,clever real crowd pleaser this film still rank among mickey s best film even eighty wonderful year
1453,"This was my first crawfish experience, and it was delicious!",positive,be first crawfish experience be delicious
1066,"steve martin delivers a really funny performance of a middle-aged, upper class, uptight white guy.  ",positive,steve martin delivers really funny performance of middle age upper class uptight white guy
1555,"There is really nothing for me at postinos, hope your experience is better",negative,be really nothing postinos hope experience be well
2047,Great food and awesome service!,positive,great food awesome service
44,"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",negative,staff be not friendly wait time be serve be horrible no one even say hi first ten minute
209,"It was attached to a gas station, and that is rarely a good sign.",negative,be attach gas station be rarely good sign
1280,The cast is always entertaining as usual.  ,positive,cast be always entertaining usual
1399,I've had better atmosphere.,negative,have have well atmosphere
913,The reception through this headset is excellent.,positive,reception headset be excellent
1991,The cast of veteran actors are more than just a nostalgia trip.  ,positive,cast of veteran actor be nostalgia trip
2486,"(It wasn't busy either) Also, the building was FREEZING cold.",negative,it be not busy either also building be freeze cold
399,Just reading on the specs alone makes you say WOW.,positive,read specs alone make say wow
952,None of them are engaging or exciting.  ,negative,none of be engage excite
2267,cool phone.,positive,cool phone
2245,I've had this for nearly 2 years and it has worked great for me.,positive,have have nearly two year have work great me
1522,Tried to go here for lunch and it was a madhouse.,negative,try go lunch be madhouse
1000,"The food, amazing.",positive,food amazing
1786,This is simply the BEST bluetooth headset for sound quality!,positive,be simply best bluetooth headset sound quality
1937,I liked the way Dustin Hoffman's character was ready to do just about everything to stay with his son.  ,positive,liked way dustin hoffman s character be ready do everything stay son
492,"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",negative,live neighborhood be disappoint not be back here be convenient location
532,Can't upload ringtones from a third party.,negative,cannot upload ringtones third party
1927,Brilliance indeed.  ,positive,brilliance indeed
1473,"horrible, had to switch 3 times.",negative,horrible have switch three time
1592,"The characters are fleshed out surprisingly well, particularly Grimes and Blake, and all the actors deliver their sharply scripted lines with just the right amount of deadpan tongue in cheek to make the dialogue both hilarious and realistic.  ",positive,character be flesh out surprisingly well particularly grime blake actor deliver sharply script line right amount of deadpan tongue cheek make dialogue hilarious realistic
970,much better than the hard plastic cases.,positive,much well hard plastic case
687,I will come back here every time I'm in Vegas.,positive,come back every time be vega
170,Now we were chosen to be tortured with this disgusting piece of blatant American propaganda.  ,negative,be choose be torture disgust piece of blatant american propaganda
1277,Not recommended.  ,negative,not recommend
1414,"The dining space is tiny, but elegantly decorated and comfortable.",positive,din space be tiny elegantly decorate comfortable
2186,"Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.",positive,that leather be nice soft fit be very tight cut out face be good shape
2320,there are so many problems i dont know where to start.  ,negative,be many problem do not know start
237,Don't waste your money!.,negative,do not waste money
2223,Everything is appalling.  ,negative,everything be appal
339,It's just lame.  ,negative,be lame
636,I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,positive,bought battery coupon amazon be very happy purchase
2680,"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",negative,sadly gordon ramsey s steak be place shall sharply avoid next trip vega
1586,Sooooo good!!,positive,sooooo good
2314,The worst one of the series.  ,negative,bad one of series
1855,"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",positive,one nice thing be add gratuity bill since party be large six eight do not expect tip that
1968,"There are many continuity errors: one other user commented on different cars in the garage, Joe's glasses...the one that got to me the most was the fact Joe's facial hair configuration seemed to change from scene to scene.  ",negative,be many continuity error one user comment different car garage joe s glass the one got be fact joe s facial hair configuration seem change scene scene
1807,"Every time he opened his mouth you expect to hear, ""you see kids..."" Pulling the plug was a mercy killing for this horrible show.  ",negative,every time open mouth expect hear you see kid pull plug be mercy kill horrible show
500,I won't be back.,negative,not be back
2719,Nothing at all to recommend.  ,negative,nothing recommend
713,Terrible service!,negative,terrible service
35,But the premise of the film was so ridiculous: that the President of the U.S.  ,negative,premise of film be ridiculous president of you s
1445,What a big waste of time.,negative,big waste of time
795,"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.",negative,have be hilarious yummy christmas eve dinner remember be big fail of entire trip u
760,"It was too predictable, even for a chick flick.  ",negative,be too predictable even chick flick
99,This place is amazing!,positive,place be amaze
1294,I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,negative,seriously cannot believe owner have many unexperienced employee be run around like chicken head cut off
2642,Talk about USELESS customer service.,negative,talk useless customer service
2256,But it picked up speed and got right to the point.  ,positive,pick speed get right point
1821,An absolute must visit!,positive,absolute must visit
682,"The meat was pretty dry, I had the sliced brisket and pulled pork.",negative,meat be pretty dry have slice brisket pull pork
1180,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,negative,pan cake everyone be rave taste like sugary disaster tailor palate of six year old
597,Each day of the week they have a different deal and it's all so delicious!,positive,day of week have different deal be delicious
112,I'll give this film 10 out of 10!  ,positive,give film ten out of ten
1754,If you want a real scare rent this one!  ,positive,want real scare rent one
2550,"The biggest complaint I have is, the battery drains superfast.",negative,big complaint have be battery drain superfast
86,The selection of food was not the best.,negative,selection of food be not best
2435,"It felt like a very gripping, intelligent stage play (but without the overly theatrical feeling one actually gets from watching people on a stage) which plays on everyone's terror of a white lie escalating to monstrous consequences.  ",positive,felt like very grip intelligent stage play but without overly theatrical feel one actually get watch people stage play everyone be terror of white lie escalate monstrous consequence
1626,"I really loved the story line and the poler bear was kinda cute.But if anyone has a question about Fort Steele, just ask away:)  ",positive,really loved story line poler bear be kind of cute but anyone have question fort steele ask away
933,I dont think I will be back for a very long time.,negative,do not think be back very long time
163,Don't miss it.  ,positive,do not miss it
